npp,rh,fFire,cVeg,cLitter,cSoil,tas,tos,fgco2,dpco2,spco2
66.35815514,58.58166076,4.953960412,594.9739426,220.8346651,1027.559185,285.0031352,289.8837,0.39621615,3.9262085,nan
67.06537625,58.27648637,6.540334732,595.3696486,221.1883107,1027.5455,284.6593803,289.70218,0.8198065,0.84657836,nan
66.78926234,58.268885,6.10353067,595.6442703,221.3889399,1027.575445,284.4139781,289.7073,1.1910654,-0.7639791,nan
68.66982756,58.6623782,6.754258867,596.8496369,220.9668219,1027.556145,284.8230259,289.74176,1.0683962,-0.5996178,nan
70.19155186,59.48021055,6.688330113,597.6530302,221.2071864,1027.573199,284.8070911,289.6788,1.2465898,-1.87467,nan
68.74813506,59.08284163,7.517705113,599.1904357,221.0031862,1027.469383,284.6283042,289.67065,1.4724916,-2.9271235,nan
68.34992195,58.05828064,6.551880053,599.8536966,220.940611,1027.561358,284.5978562,289.76886,1.8049138,-4.062047,nan
70.33908809,59.49348998,6.113347023,601.4391997,220.9207743,1027.673256,284.9940107,289.85034,2.0792782,-4.951362,nan
67.9766039,59.19085274,6.449932269,601.9391098,221.7880673,1028.023381,284.9437599,289.83704,2.1835523,-5.5865083,nan
71.06202437,59.2228613,6.570664394,603.2268822,221.6713419,1028.142515,284.7630556,289.69986,2.2516851,-6.449284,nan
71.89979652,59.8076889,6.176438115,606.5989915,222.2017872,1028.315971,284.8307619,289.80756,2.5167453,-7.089458,nan
70.63062879,59.71656294,6.597702763,607.7883757,222.6462429,1028.646974,284.913874,289.81122,2.4853752,-6.943399,nan
73.5360972,59.91361049,6.465295669,610.521537,223.286914,1028.992202,284.6567686,289.7655,2.7144532,-8.079402,nan
75.92385933,61.30023822,5.997506557,614.629963,223.9591642,1029.342429,284.9289492,289.7517,2.8889403,-8.717852,nan
74.3618273,61.83170043,7.157971439,617.9638435,225.2133733,1029.716938,284.9532481,289.7553,2.818387,-8.918173,nan
74.41519823,61.05756119,7.288591941,620.6064664,225.4651151,1030.078793,284.7592868,289.8299,3.0407143,-9.665062,nan
74.00963089,61.70811014,6.455247383,623.2979806,226.1310773,1030.544516,285.0598987,289.9599,3.1886835,-9.991076,nan
73.67349615,61.04838679,7.030110133,624.735488,226.3175399,1031.250083,285.2255279,289.99957,3.284713,-10.355449,nan
76.80268766,62.74668159,7.21902761,627.8447451,227.1125704,1031.743537,285.2827542,289.95096,3.5280464,-11.246673,nan
78.4941062,62.73115795,6.709465902,632.1361059,227.7497571,1032.19708,285.2039399,289.90268,3.5138156,-11.915434,nan
76.87743261,62.59958701,6.987693683,636.1915169,228.5368302,1032.726539,285.0080941,289.85364,3.5800812,-12.387964,nan
77.24331474,62.87694666,7.520178043,639.4994802,229.372456,1033.465051,285.1565984,290.02158,3.5867386,-11.888409,nan
74.60874874,64.11151664,6.992482762,641.6214779,230.0563689,1034.199492,285.6051195,290.1674,3.547617,-11.26188,nan
79.29287042,63.32086477,7.098944411,644.6946106,229.7398453,1034.655897,285.4617395,290.018,3.6166046,-12.50725,nan
79.14643092,64.16925449,7.675530115,649.6424679,230.7870711,1035.214872,285.2512153,290.06607,3.8059888,-13.126226,nan
79.62796541,64.0314031,7.094952365,652.939116,231.4098054,1035.921042,285.3305586,290.09015,3.8100889,-12.905092,nan
81.22607331,64.68389699,7.507599277,656.9999254,232.3657972,1036.709286,285.4251754,290.07297,3.888988,-13.561563,nan
80.4595803,65.59782401,7.924870945,661.0732036,233.4181729,1037.456208,285.4606485,290.08896,3.9195285,-13.544672,nan
79.81581096,65.36038272,7.574003374,664.6241517,233.7307146,1038.171857,285.5741425,290.22244,3.7839727,-12.779317,nan
80.98240346,65.7717718,7.791371657,667.8890554,234.0851125,1038.91496,285.6313358,290.16876,4.0993233,-14.514648,nan
81.92042469,65.30100637,6.415039958,672.0773335,234.7200612,1039.741607,285.4650455,290.16702,4.1996903,-14.654225,nan
81.69920034,65.87004739,7.662137225,676.5771778,235.7717189,1040.630154,285.633121,290.2179,4.4195185,-15.331611,nan
84.39622316,66.54226948,8.320467869,680.9301813,236.585131,1041.571333,285.5675306,290.1356,4.540475,-16.283209,nan
85.27517538,67.85682847,8.390513626,685.9090529,237.3744373,1042.468398,285.8466868,290.18436,4.5243497,-16.170612,nan
84.09794264,68.10753638,8.970873485,690.7061846,237.8751028,1043.129253,285.9194181,290.30295,4.4549785,-15.871482,nan
84.86883816,67.8460042,8.026090546,693.9094342,238.2443602,1043.980288,285.796965,290.34268,4.598927,-16.415945,nan
85.21371532,68.65225023,8.0511246,699.1068318,238.6634898,1044.789546,286.1052137,290.37424,4.65481,-16.64573,nan
84.71793604,68.08387419,8.52374973,703.3489451,239.2310012,1045.454732,285.9519489,290.3792,4.5567446,-16.659073,nan
85.58379147,68.64251168,8.760694263,706.9319513,240.1750391,1046.298771,285.9494033,290.34848,4.6270986,-16.687885,nan
88.04242456,69.19000507,8.033597473,712.6648745,240.641479,1047.083909,285.9450725,290.36185,4.6231275,-16.993502,nan
86.49353894,69.41907914,8.40809153,716.6399803,242.1146668,1047.995194,285.7918738,290.35544,4.7855444,-17.50255,nan
87.51788468,70.69635714,8.540841347,722.5012109,242.117765,1048.750061,286.3127626,290.48694,4.792937,-17.214594,nan
87.67416355,69.60305044,8.302162791,726.5832069,242.5406705,1049.379094,286.0285813,290.42072,4.8406367,-17.657106,nan
88.36233958,71.17988434,8.152284311,732.526557,243.1342549,1050.161062,286.377229,290.5422,4.8900456,-17.444649,nan
88.95754784,71.19080661,9.179855623,736.7759755,243.9347798,1051.025735,286.4596799,290.53564,4.880063,-17.711742,nan
88.10562679,70.55841846,9.126634597,740.0594083,244.706059,1052.024608,286.2195342,290.46198,5.059279,-18.722946,nan
88.37654112,71.2845596,8.121370094,744.7811333,245.0416825,1052.997767,286.3690302,290.5828,5.0236406,-17.954891,nan
