npp,rh,fFire,cVeg,cLitter,cSoil,tas,tos,fgco2,dpco2,spco2
53.32929238,52.14429542,nan,392.2761825,159.2191371,779.6355133,285.7978245,290.52716,-0.13311759,nan,298.1335
54.58917702,52.65855491,nan,392.9138233,159.2304147,779.5617121,286.0269944,290.53244,-0.066885725,nan,297.97226
51.99657351,53.02295756,nan,393.4399595,159.5489869,779.5902778,286.0454417,290.61624,-0.07570291,nan,297.84232
52.44618744,53.0216078,nan,392.6972963,158.9711688,779.5905387,286.1716637,290.62747,-0.1401463,nan,297.64777
52.92176167,52.91173958,nan,392.9682579,158.5497046,779.4372715,286.0134399,290.6169,-0.094132975,nan,297.75684
55.28502731,52.2943651,nan,394.23259,159.513522,779.319497,286.0121175,290.62006,-0.1586774,nan,298.02054
54.51131536,53.15739844,nan,394.5929555,160.0560906,779.4355522,286.2444281,290.6644,-0.101425,nan,297.806
52.9138726,53.41454389,nan,394.8855376,160.1116653,779.520519,286.26152,290.6514,-0.047289584,nan,297.8204
51.71480137,53.05499436,nan,393.6826967,159.6263114,779.4724881,286.1475301,290.60672,-0.0669803,nan,297.85553
52.80432459,53.23229912,nan,393.5417564,159.5348152,779.3215883,286.4349512,290.66653,-0.005029857,nan,297.5085
54.15620912,53.08543773,nan,393.8354786,159.3253837,779.1821187,286.4876154,290.71103,-0.05410677,nan,297.59842
54.1613598,53.16048351,nan,394.3813387,159.5068206,779.1175231,286.2700163,290.69382,-0.024522787,nan,297.73773
53.22436014,53.44119691,nan,394.3763536,159.4084915,779.1112808,286.4288683,290.68448,0.04821866,nan,297.42868
53.24252335,53.52305192,nan,394.5765346,159.1519078,779.0527858,286.4932025,290.7444,0.05817416,nan,297.2752
53.8014509,53.57479524,nan,394.7382152,158.8354908,778.9550005,286.3188125,290.68524,0.009033959,nan,297.3064
58.15556303,52.8629995,nan,396.3693207,159.3205031,778.9110695,285.9659662,290.63763,0.06895262,nan,297.1804
53.42257829,53.72551014,nan,398.0363955,160.5423098,779.2588761,286.2253527,290.72235,-0.10284282,nan,297.97363
52.57213499,53.68982807,nan,397.2766473,160.0547493,779.4955931,286.162407,290.7388,-0.024972206,nan,297.90826
49.38472323,53.68094424,nan,395.0868252,159.2516644,779.4068363,286.4069827,290.8099,0.007786243,nan,297.5472
51.06474603,53.6127111,nan,393.2765806,157.671096,778.8892339,286.5699671,290.78214,-0.08140574,nan,297.60767
