npp,rh,fFire,cVeg,cLitter,cSoil,tas,tos,fgco2,dpco2,spco2
48.44251846,48.2936573,nan,450.8280432,85.77482197,1234.793063,287.0819959,290.75443,0.26138034,5.0710773,296.7067
48.71690917,48.91194392,nan,450.5371844,85.51675999,1235.033097,287.347796,290.81042,-0.19407783,7.551873,299.26276
47.61897832,48.799452,nan,450.3715547,85.22307584,1235.19908,287.460761,290.82022,-0.06185229,6.8391767,298.5153
46.32699853,48.8946441,nan,448.6249371,84.51900605,1235.185503,287.6475153,290.91434,0.05220314,6.0537376,297.72543
47.7581047,47.91428717,nan,447.6637943,84.08818598,1234.973794,287.3453165,290.74985,-0.3792155,8.125758,299.87122
50.90888294,47.68517296,nan,449.6678133,84.47523019,1234.844581,287.1287423,290.70862,0.21919177,7.148729,298.83966
46.9265582,48.36655615,nan,449.9252564,84.92246104,1234.917392,287.1059311,290.7537,0.06410115,6.2255983,297.899
47.58558455,48.69877441,nan,448.8085667,84.64240124,1235.011088,287.3385062,290.84912,0.052733097,6.8614483,298.51248
47.34695792,48.73587184,nan,447.9702419,83.74982984,1234.917612,287.558783,290.83194,-0.13482709,6.9128942,298.6459
50.13227224,47.99400429,nan,448.8232156,84.09635368,1234.662751,287.2923879,290.7986,0.05424571,7.261247,298.95673
46.46188093,48.86892177,nan,448.6219492,84.32917838,1234.553471,287.6746904,290.8922,0.17727438,5.930745,297.59232
47.25178138,48.36144109,nan,447.0974394,83.72100296,1234.406002,287.5256572,290.81393,-0.3891605,7.408436,299.14084
50.57467458,48.37489263,nan,448.3236225,83.6854884,1234.200187,287.47739,290.85138,0.16338083,6.8391542,298.53104
48.16237166,48.91131505,nan,449.0885861,83.82834987,1234.051509,287.6930716,290.98874,0.057831682,6.694975,298.36264
46.41864852,49.67266218,nan,447.7327171,83.26509768,1233.841378,288.1336914,291.01868,-0.20433554,6.82446,298.55063
48.82532524,48.53770989,nan,447.0694247,83.04382875,1233.425962,287.9716658,290.97025,-0.21827282,6.844744,298.58154
47.51573376,49.07239517,nan,446.7489442,82.85146577,1233.026865,288.0087588,291.04407,-0.14461856,6.6896663,298.36935
49.82986526,48.78095847,nan,446.9853265,82.50764818,1232.57558,287.7679518,291.03326,-0.37329048,7.755424,299.4596
49.55264069,48.53363769,nan,448.3563282,83.06283617,1232.202896,287.7892753,290.9519,-0.5171896,8.415394,300.14807
47.27060741,49.15188569,nan,448.2045751,83.27330637,1231.991238,287.7725471,291.03177,-0.23098984,7.149999,298.85583
47.43826102,49.14652891,nan,446.6265343,82.39846167,1231.648684,287.9647232,291.0422,-0.73833907,8.570453,300.34836
52.18575867,47.62828257,nan,448.7848028,82.81291213,1231.21353,287.5810653,290.9149,-0.23708309,8.392161,300.16064
49.17239722,48.95807916,nan,450.6053964,83.85162281,1231.147721,287.7052376,291.06662,-0.1054451,6.9060955,298.61163
46.40311883,49.95550058,nan,448.8981813,83.11201101,1231.073332,288.1227817,291.18616,-0.4241678,7.413777,299.13345
48.70617142,48.93284998,nan,448.369507,82.63452769,1230.718524,288.0444632,291.12057,-0.2458206,8.011783,299.76505
45.19226877,49.62468608,nan,446.6497432,82.03384876,1230.214917,288.5328543,291.29056,0.04419848,5.920537,297.56604
47.43666484,48.8453049,nan,445.1563741,81.09031161,1229.461626,288.1582548,291.18588,-0.47845453,8.0813265,299.83087
51.50923168,47.89526853,nan,447.1283525,81.53176162,1228.702983,287.9993367,291.10342,-0.37592825,7.7475142,299.50406
46.81249688,49.60440017,nan,447.6568235,82.14803045,1228.308997,288.2123735,291.26553,0.13358119,6.4756494,298.1047
45.17097928,49.51554632,nan,445.0495074,81.20879373,1227.833887,288.4203191,291.359,-0.22610056,7.2319264,298.91983
45.90574489,49.08445984,nan,442.8213475,80.10835694,1226.97998,288.6630765,291.3884,-0.1914757,6.8503175,298.56192
46.10904769,48.52208686,nan,441.6663445,79.36948466,1225.803481,288.3891768,291.3894,-0.24669944,7.7465434,299.44806
48.55564079,48.04969571,nan,442.4568436,79.45494289,1224.561256,288.4188314,291.3367,-0.22146665,7.6452446,299.37067
48.53992169,48.65895729,nan,443.7437088,79.8261858,1223.500533,288.6318351,291.43726,-0.006478998,6.2492313,297.93497
45.10496205,49.18531115,nan,442.4725264,79.71530306,1222.497392,288.7843396,291.52713,-0.14578532,6.576957,298.2584
45.59461419,49.33216729,nan,440.5852881,78.89992474,1221.296505,289.1345411,291.59418,-0.070901,6.496511,298.14984
45.77081261,48.16425147,nan,438.8647815,78.38238026,1219.839422,288.8003735,291.5564,-0.07261416,6.1110563,297.79468
46.42957186,48.26660316,nan,438.3472312,78.53642942,1218.330907,288.7514782,291.52417,-0.46138576,6.764641,298.49295
49.55265957,48.3420297,nan,439.2473019,78.75236322,1217.014254,288.7745208,291.48175,-0.29517856,8.415017,300.15692
47.11505132,48.89049293,nan,439.8257387,78.52445894,1215.807009,288.7933318,291.4914,-0.69094205,8.794512,300.5602
50.54983562,47.89406251,nan,441.6852674,79.21026749,1214.742314,288.3699692,291.41348,0.002476065,7.599994,299.31076
46.55232209,49.06599422,nan,441.8194677,79.63355058,1213.968233,288.7591811,291.58203,0.182931,5.889833,297.50787
42.00939353,49.52832589,nan,438.1833992,78.59452625,1212.944053,289.3213946,291.64017,0.16599312,5.9400196,297.57388
49.17457915,48.07214307,nan,437.1424063,77.8871403,1211.560852,288.8423594,291.60022,-0.23941575,7.756634,299.4869
47.14734033,48.5373875,nan,438.5821083,78.2699855,1210.25522,289.0640908,291.57825,-0.20379783,7.750886,299.45984
46.11257563,49.29230451,nan,437.4217955,77.58723053,1209.02902,289.3557767,291.74026,-0.22223572,6.880983,298.5664
48.46650306,48.10950195,nan,437.7913612,77.19665538,1207.580432,289.0873318,291.63788,-0.33815,8.366191,300.10074
49.46564807,48.73304413,nan,439.9482761,77.70258707,1206.214376,289.2188433,291.67337,-0.06436578,6.7968373,298.49185
45.0187669,48.87075325,nan,438.924823,77.9278052,1205.022627,289.0854805,291.66495,-0.17375046,7.786841,299.4912
48.92098464,48.13680872,nan,438.7666508,77.80097188,1203.887686,288.9404145,291.61298,-0.18274793,7.5990715,299.3294
46.27816354,48.98818959,nan,438.4366234,77.87228012,1202.860256,289.2405966,291.74753,-0.18901606,6.558676,298.2562
46.17462607,49.2073483,nan,437.5809472,77.17631499,1201.65544,289.3733314,291.81516,-0.6190538,7.501235,299.19922
45.062328,48.73313878,nan,436.0918392,76.83332684,1200.257818,289.4978012,291.90396,-0.43268746,6.6597047,298.33575
45.88667155,47.97091611,nan,434.2985377,76.51961242,1198.708718,289.2916408,291.72903,-0.7605692,9.2239895,301.00934
48.83088309,47.75279745,nan,435.4501546,77.46945518,1197.369014,289.0501066,291.78317,-0.11343169,6.4809637,298.12796
43.53610324,48.80494904,nan,433.7818518,77.4850375,1196.239535,289.3595455,291.98886,-0.1926481,6.585741,298.22653
44.79001354,47.93359514,nan,431.2591412,76.5659156,1194.847772,289.3961756,291.92325,-0.20086993,7.0316978,298.68484
48.06526684,47.66904902,nan,431.7669832,76.55947573,1193.352299,289.278979,291.82782,-0.398922,7.7234125,299.46027
47.51369474,48.23351578,nan,433.1446002,76.83655672,1192.062817,289.4137634,291.88702,-0.4563246,8.428071,300.15363
44.5009554,49.12426895,nan,431.7672425,76.2036219,1190.715785,289.9045017,292.0592,-0.3828419,6.541093,298.19565
44.71051511,48.37889946,nan,429.9232404,75.18760071,1189.059297,289.8285966,292.06393,-0.26277488,6.5335054,298.20673
45.6942489,47.70051604,nan,429.0854444,75.21550797,1187.284047,289.5967819,291.926,-0.5066152,7.431297,299.1154
47.39105461,47.77110131,nan,429.715683,75.51423055,1185.692536,289.6755963,291.966,-0.08454269,6.8715606,298.54764
43.87625154,48.26626342,nan,428.4651028,75.32312526,1184.208032,289.8477051,292.05273,-0.2064896,6.929672,298.60477
44.59745747,47.72110608,nan,426.8793841,74.64168649,1182.56718,289.7879993,292.02344,-0.16490932,6.639006,298.3059
45.46125296,47.84621702,nan,426.1557001,74.35241876,1180.817664,290.077966,292.03247,-0.28844193,7.408677,299.1161
46.37953608,47.93735519,nan,426.5624765,74.28782823,1179.09939,289.8800045,292.02493,0.04645723,7.506002,299.19736
45.2186124,47.48453257,nan,426.0396278,74.12685722,1177.400791,289.7626425,292.0979,-0.41220838,7.4206405,299.15323
46.42646233,48.03529392,nan,426.2432644,74.07678785,1175.708241,290.0983639,292.14697,-0.6105071,8.263741,300.0074
43.81333339,47.9027183,nan,424.7592197,73.69135988,1173.995564,290.1299359,292.22604,-0.13200207,6.984058,298.62875
44.85108651,47.85752805,nan,423.8496575,73.24534695,1172.134159,290.2219411,292.22617,-0.36459365,7.280561,298.98343
45.16794306,47.84521134,nan,423.3608548,73.00912615,1170.238979,290.3283933,292.25427,-0.091296144,6.9993896,298.65967
43.80670154,47.62507673,nan,422.2412652,72.78426917,1168.322644,290.1622352,292.28317,-0.076541424,7.014244,298.67798
45.2530292,47.12246858,nan,420.8654597,72.5282123,1166.38145,290.3001603,292.2575,-0.49546498,7.459929,299.2
45.47046193,46.87686063,nan,421.1152332,72.92541476,1164.467003,289.9043034,292.26178,-0.59241366,7.5922112,299.2945
45.63899448,47.07288224,nan,421.2870184,73.11547137,1162.706147,290.1413415,292.19144,-0.40652582,7.5684037,299.2696
46.63984529,47.64818453,nan,421.7242935,72.98706101,1161.076322,290.279465,292.268,-0.39638123,7.8300285,299.54752
44.55976977,47.56273225,nan,421.7896072,72.95008076,1159.48411,290.3259469,292.38968,-0.32054314,7.976556,299.6457
44.19174735,47.91043264,nan,420.2229006,72.21822448,1157.778495,290.6723466,292.4328,-0.3413121,7.528894,299.1979
45.09298813,47.48652028,nan,419.5351107,71.90555345,1155.965823,290.3707759,292.3395,-0.30722946,7.3382373,298.99643
45.84360484,47.1895438,nan,419.3814601,71.9446433,1154.23527,290.3491548,292.36328,-0.45851117,7.297742,298.98404
42.97959663,47.37805725,nan,417.9586334,71.72561631,1152.529234,290.3749414,292.39352,-0.5477547,7.625658,299.2942
44.75573246,47.18311491,nan,416.8463472,71.25392,1150.722369,290.3944466,292.3515,-0.3633139,6.9532995,298.66324
46.42937519,46.86574933,nan,417.4954485,71.14140065,1148.868324,290.3762969,292.35574,-0.69687074,7.7225747,299.4556
44.70569867,47.5429558,nan,417.6250881,71.23425124,1147.116088,290.6860002,292.51932,-0.4519478,7.562517,299.23267
43.22395121,47.51512634,nan,416.2960824,70.62256597,1145.306894,290.9213523,292.59668,-0.21472065,7.0736475,298.73044
43.9279821,46.93494455,nan,415.0606725,70.18789141,1143.297636,290.7259364,292.6458,-0.25621575,7.2947483,298.97473
44.97083462,47.54832154,nan,414.8522992,69.73471799,1141.202589,291.281042,292.783,-0.19825637,7.2727194,298.9326
44.0540845,47.06697776,nan,414.493842,69.43656348,1138.936286,291.2194848,292.68857,-0.2549977,7.0648007,298.73505
42.31146282,47.16358006,nan,412.8979593,69.54179527,1136.780902,291.2700661,292.72552,-0.3246326,7.5387683,299.2189
45.20835871,46.56967498,nan,412.0198373,68.9389121,1134.585366,291.1014616,292.721,-0.49280304,7.3992596,299.07874
45.85915361,46.89808942,nan,413.2402021,69.23245608,1132.364731,291.2289068,292.76236,-0.42419422,7.9294543,299.61884
42.93037802,46.93357297,nan,412.5043584,69.3142107,1130.260578,291.3100023,292.86905,-0.20764473,7.1110606,298.76846
42.6470262,46.97037851,nan,410.9222608,68.75349353,1128.114429,291.4738792,292.88617,-0.3433817,6.90986,298.57703
42.13319886,46.68667305,nan,409.1497204,68.13676827,1125.818001,291.2441143,292.86343,-0.5632366,7.461176,299.17453
43.20150646,46.08176151,nan,408.1666941,67.973576,1123.444391,291.2222287,292.81766,-0.470209,8.02695,299.74728
42.23385276,46.85127782,nan,406.9124762,67.56614545,1121.037806,291.6540216,293.03778,-0.6135051,7.8754473,299.56708
45.25877835,45.88590607,nan,406.9120799,67.24081282,1118.466538,291.3538725,292.85284,-0.8612845,8.674364,300.42984
47.47463286,45.689007,nan,409.3606156,68.45051445,1116.273286,291.0273417,292.82706,-0.36645856,7.4926186,299.19037
43.81703957,47.02670326,nan,409.9923303,68.83902367,1114.510592,291.2879845,292.96027,-0.40014562,7.9514313,299.6229
42.65111569,46.96585882,nan,408.4050125,68.05363949,1112.616082,291.6248629,292.92746,-0.6198723,8.406639,300.1265
44.58362655,46.35589592,nan,407.7493849,67.46343709,1110.586639,291.4153305,292.93872,-0.6981911,7.906848,299.61948
44.65993827,46.87313432,nan,408.4088032,67.45006885,1108.519679,291.6757418,293.02335,-0.7450551,7.6744614,299.38657
42.33878136,46.66346124,nan,406.9295385,67.12166156,1106.432211,291.859653,293.1574,-0.5168225,7.320421,298.9974
42.37819316,45.75451777,nan,405.6510022,66.91665624,1104.207918,291.681362,293.19806,-0.28749603,7.781137,299.44327
43.27497165,45.50574116,nan,405.1052024,66.74652808,1101.937109,291.8288414,293.22977,-0.29134822,7.491511,299.16028
43.66083019,46.2213119,nan,405.185594,66.56765525,1099.663165,291.9423353,293.17178,-0.22202274,7.257277,298.92303
43.05588619,46.09974277,nan,405.0469647,66.41389286,1097.355081,291.8925144,293.1605,-0.44069022,7.186779,298.86835
43.33166542,45.83281197,nan,404.2617407,66.49854375,1095.088792,291.7984925,293.1341,-0.28531757,7.5961533,299.27844
43.70621929,46.06636664,nan,404.198067,66.46515222,1092.971812,291.9752959,293.16794,-0.43705565,7.6948404,299.4041
43.45247238,45.85779874,nan,403.6423373,66.11378776,1090.880629,291.9530136,293.15433,-0.4008938,7.686523,299.35483
43.48463643,46.65832447,nan,403.992786,65.83856501,1088.736723,292.1419168,293.24637,-0.58387244,7.897281,299.59787
43.54070862,46.1642349,nan,403.0692494,65.39703691,1086.537251,292.230054,293.29077,-0.59474534,7.9035325,299.5996
44.14471041,45.80777123,nan,402.762817,65.58019827,1084.344377,292.0769214,293.28305,-0.7003085,7.6273003,299.35254
44.42936964,46.16122131,nan,403.8314983,65.78397503,1082.26417,291.9920902,293.384,-0.5168603,7.4419136,299.12076
