npp,rh,fFire,cVeg,cLitter,cSoil,tas,tos,fgco2,dpco2,spco2
21.55917767,39.45426092,2.041733691,599.207787,10.91311464,502.3854273,285.5315285,290.6404,0.45283622,2.4493015,294.67862
22.05839322,39.40955816,2.053845803,600.1081433,10.82568627,502.157863,285.3653374,290.63406,0.7928535,1.1556422,296.30725
21.89620393,39.38239249,2.152451433,600.341955,11.00688582,502.1608478,285.0596673,290.54208,1.2245277,-0.6474894,297.45563
22.29514407,39.2453128,2.075620451,600.4969541,11.11587357,502.169837,285.1950137,290.60123,1.4010967,-1.2493382,299.8348
21.94261484,39.98682947,2.058477304,599.9036116,11.06041379,502.3584779,285.4233902,290.64825,1.646946,-1.8908145,302.20416
22.21557496,39.5628804,2.053000831,599.9963374,11.11645352,502.3904388,285.2219243,290.6071,1.9953038,-3.650059,303.48587
22.20040872,39.4341647,2.034332178,600.4295336,11.22583047,502.4702012,285.1367625,290.63885,2.069441,-3.8371382,306.37015
21.68929139,39.46385672,2.125755826,600.6463932,10.87175989,502.6373164,285.4508298,290.79678,2.3012586,-4.250811,309.05856
22.76976923,40.13640904,2.120160266,601.2875367,10.90812255,502.4226336,285.7707817,290.7912,2.3855271,-5.409354,311.0331
22.1504893,39.70109795,2.043610748,602.9444746,10.74310879,502.2047505,285.6001274,290.71906,2.410564,-5.4856462,314.12125
22.82710143,39.8464458,2.143273849,603.9658444,11.19137655,502.003261,285.3051026,290.63168,2.6736279,-6.549791,316.25317
22.65151468,40.06204625,2.163701856,603.1477345,11.40160654,502.3284642,285.4572434,290.71985,2.7858472,-6.3423815,319.6886
22.39383261,39.68526652,2.118059285,603.1195492,11.22104239,502.4648247,285.5375123,290.70865,2.861681,-7.005431,322.28586
22.33565982,39.78503044,2.17813055,603.505906,11.38581541,502.5702544,285.5153954,290.71936,3.087589,-7.773432,324.8108
22.69801189,40.11166577,2.030112476,604.642079,10.91138049,502.5725779,285.8061556,290.8188,3.002369,-7.35321,328.55685
22.95223809,40.43143887,2.146858353,605.0574977,11.31225602,502.6039195,285.6135827,290.76596,3.1170185,-7.9152794,331.35385
22.60454607,39.72203592,2.117624362,606.4145128,10.89796268,502.5750383,285.6373527,290.74915,3.200018,-8.061922,334.5999
22.59165167,39.77544018,2.423432373,606.5788397,11.32800075,502.5999106,285.6590398,290.8005,3.2641633,-8.049668,338.0388
22.80473775,40.43293755,2.411664766,605.8027232,11.53182126,502.7822668,285.7346474,290.76978,3.566347,-9.095342,340.454
22.45544953,39.79333063,2.147822138,606.9901866,10.88376224,502.7439724,285.6997033,290.66095,3.4960928,-9.605015,343.43982
23.3864517,39.74874226,2.181514819,609.4542759,11.09815048,502.4443807,285.6251867,290.73828,3.6358657,-9.482321,347.09296
22.74459144,40.44550755,2.275347578,608.5012796,11.591812,502.7818403,285.7522021,290.79868,3.5026062,-9.032997,351.10803
22.80851724,39.98326883,2.079387498,610.2639701,10.88860623,502.7232888,285.7845345,290.7307,3.576955,-9.834084,353.9084
23.21392886,40.32793235,1.993092368,612.1794891,11.00819157,502.5274112,285.6376833,290.6936,3.7821574,-10.534425,356.84546
23.35642882,39.98501275,2.218016818,613.1222098,11.31644476,502.5111812,285.6437001,290.80527,3.8805058,-10.10767,360.946
22.58170115,40.72354409,2.386378701,611.5187009,11.66118052,502.9302823,285.8785894,290.86926,3.7441204,-10.011822,364.7524
22.93882213,39.94079471,2.271019792,613.2693407,11.02477792,502.8297558,285.9161783,290.85443,3.8958433,-10.58022,367.93164
23.14753024,40.20960497,2.237093488,614.6078356,11.1066488,502.7381321,285.7594091,290.84814,4.0502715,-11.221446,371.07553
23.35645381,40.67400149,2.383215178,615.3276352,11.20045997,502.8156237,286.1097759,290.935,4.0470014,-11.401741,374.7182
22.93082163,40.58517045,2.527653882,614.7334286,11.41010688,502.9516039,286.2221128,290.89954,4.099976,-11.4714155,378.50974
22.97587974,40.391819,1.925427499,616.2665188,11.17966808,502.8711189,285.4954604,290.81247,4.144413,-11.771782,382.10916
23.77897505,40.95792253,2.148214337,618.8819103,11.37546,502.7138891,286.1232974,290.90427,4.210522,-11.722335,386.09744
23.31995779,40.70438792,2.420500018,618.639251,11.57949221,502.9527927,285.7014224,290.96426,4.2429433,-11.848618,389.94934
23.20368327,40.9472223,2.441694371,617.8603029,11.56362959,503.2381396,286.090998,291.00677,4.3095937,-11.885567,393.93036
23.19637075,40.74878115,2.115877119,619.7899305,11.18030392,503.1329854,286.0248786,290.9256,4.2672396,-12.5455475,397.32855
23.90876271,41.08633346,2.005649612,622.0717498,11.31836724,502.960542,286.1024697,290.97012,4.2687955,-12.095186,401.87766
24.18145354,41.75969554,1.887793483,624.0320356,11.24604121,502.9676719,286.272033,291.08133,4.247834,-11.817611,406.29495
23.80181928,41.46298923,2.345269893,624.8172668,11.47276054,503.0442587,286.4479437,291.1515,4.32527,-12.049297,410.2444
23.81324366,41.36913085,2.192973934,625.109058,11.47983755,503.2004029,286.311374,291.1643,4.460467,-12.330877,414.18576
23.76496851,41.37528281,2.195977563,626.344244,11.34608937,503.3038839,286.5396844,291.13977,4.6274076,-12.630209,418.15158
24.56381462,41.76429529,2.437978419,627.9102225,11.51734454,503.3477342,286.5827943,291.12958,4.510558,-12.570361,422.51926
