config,phi,T2x,THs,THd,th,eheat,aOHC,Lthx,lgla0,Ggla1,Ggla3,ggla,lgis0,Lgis1,Lgis3,Lais_smb,lais0,aais,k_toc,vgx,ggx,To,bdic,gdic,npp0,vfire,vharv,vmort,vstab,vrh1,vrh23,apass,bnpp,anpp,gnpp,bfire,gfire,brh,grh,ka,ga,k_tth,Cfr0,CO2pi,Lgla,Lais,tgla,tgis,tais,adic,aoc_1,aoc_2,aoc_3,aoc_4,aoc_5,toc_1,toc_2,toc_3,toc_4,toc_5,vrh3,aLST,grt1,grt2,krt,amin,vthaw,vfroz,ath_1,ath_2,ath_3,tth_1,tth_2,tth_3,aCO2,k_pH,T2x0
0,5.4006934,3.5261025,8.6748905,194.00224,0.7154081,1.6044959,0.9014144,1.9026206,0.16635577,0.34305668,0.06506203,0.12003012,0.34234977,198.3293,7.39652,0.6703313,0.09148185,0.005471631,0.99185157,0.22257327,-0.008819948,17.297764,0.6997078,0.03568984,44.94095,0.005313158,0.0014920547,0.107650205,0.12291736,0.099026114,0.0261105,0.5925849,0.99740195,0.013897819,-0.018124266,-0.16077304,0.049094982,0.7193785,0.061208062,7.8194838,0.12853503,1.3119038,545.3373,271.46957,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
1,4.7440267,2.480601,7.9540887,73.784294,0.79367673,1.1018132,0.9271762,1.5677552,0.73086923,0.31657538,0.043821733,0.026320737,0.3895806,190.8559,5.893935,0.31235886,0.13235119,0.0024120589,0.84865934,0.2198413,-0.027694875,17.23353,0.83401316,0.04204004,50.452938,0.0018325405,0.00069077907,0.11515176,0.1608981,0.18712881,0.022965156,0.46594784,0.9536517,0.03147387,-0.023266071,0.049719032,0.13749863,1.151873,0.026697608,2.4400594,0.13525523,0.13852352,606.1113,279.9947,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
2,5.365032,4.579175,8.76773,101.24718,0.6263055,2.0228806,0.942241,1.9809937,0.06434837,0.4105446,0.011769707,0.018811803,0.2161901,265.46674,4.5667953,0.49660522,0.11687287,0.0031953412,0.7028543,0.2934826,0.027719103,19.09375,0.8307894,0.022151861,48.34375,0.0050070425,0.00499811,0.110450104,0.3994108,0.390082,0.02177325,0.7575197,0.9657131,0.03271679,-0.0005970142,-0.013324715,0.2482962,1.455549,0.0059379367,5.18707,0.19655006,0.15435392,528.53314,277.43436,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
3,4.9415603,3.541517,11.183985,176.86858,0.6809822,1.2623796,0.9001541,1.7143368,0.33927503,0.31590295,0.02227727,0.06012276,0.27984738,209.00456,6.4748406,0.43888623,0.050840646,0.00115987,1.0423619,0.21511805,0.050414965,18.315586,0.78867906,0.030797742,50.75543,0.0057034288,0.0020769017,0.09615588,1.0938805,0.29312724,0.03772916,0.83250964,1.3241045,0.11339773,-0.036378786,0.0931162,0.058079842,0.6229009,0.008235505,1.3519257,0.08408201,0.21600589,650.97577,279.8731,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
4,6.08839,3.6065807,10.092515,262.86078,0.7153718,1.3105509,0.86773103,1.8683875,0.5583792,0.27505854,0.02162056,0.17235205,0.19298112,246.43639,5.07391,0.4821741,-0.05595101,0.005819617,0.7756423,0.15619768,0.06833732,17.589672,0.88277304,0.059988167,44.679565,0.0022966843,0.004416136,0.11839888,0.114628226,0.067235924,0.02400172,0.35963002,0.8879898,0.035343602,-0.024884501,-0.13902165,0.09282964,0.5254639,0.040056087,1.1502932,0.13345283,0.20797528,296.7872,277.6167,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
5,4.9157248,3.2755988,7.636897,193.56416,0.39899522,0.9830238,0.9408631,1.7372991,0.7103363,0.258313,0.014148779,0.07360729,0.3077168,197.26883,5.7595773,0.31938758,-0.0028186943,0.0022456232,0.9961904,0.13427575,0.02313478,16.944988,0.8264457,0.039727055,46.156773,0.007011658,0.0022983472,0.090093635,0.119089074,0.300765,0.023720019,0.24958664,0.80809015,0.45382217,-0.007900477,-0.10883508,-0.020285638,0.4043814,0.014681747,2.3168821,0.12344567,0.16652764,488.35092,276.57526,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
6,4.64336,2.4268289,8.194928,155.77963,0.6315166,1.9867103,0.92187506,1.5442228,0.5405369,0.2890107,0.0071975514,0.23128872,0.4963818,105.36642,3.5890882,0.3244733,0.10547367,0.0033181994,0.8432181,0.22914414,0.04373594,17.67063,0.91274863,0.0629372,45.631668,0.005813801,0.0004955859,0.10573738,0.5348844,0.29167357,0.025359632,0.5027296,1.0653332,1.5972531,0.015758295,-0.4162761,0.062364124,1.2314687,0.0042528124,0.9230669,0.1391815,1.2135552,506.18814,281.01544,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
7,6.20335,4.281246,8.192955,44.797283,0.8698001,1.0466046,0.907394,1.6613358,0.6462262,0.19085063,0.027128227,0.41250268,0.31343177,259.21155,7.733962,0.50072694,0.03857397,0.0019402317,0.65805733,0.15236597,0.016911313,17.631872,0.94059944,0.049352806,47.093662,0.00847172,0.0027377498,0.117725566,0.19369783,0.19729847,0.021122525,0.6037111,0.88917637,1.5945691,0.039422438,-0.00921122,0.04864107,0.47999403,0.021313723,9.142763,0.10460429,0.453344,621.456,278.42264,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
8,4.874993,3.3640053,8.5209055,79.51103,0.40744174,1.5680897,0.9271487,1.5919025,0.06514659,0.39609727,0.017591953,0.146152,0.33284384,83.34353,4.0176163,0.37588054,0.0384817,-0.0017258686,0.6739433,0.24377286,0.08695382,18.222517,0.88631165,0.033309445,44.72924,0.005174433,0.006645624,0.099122345,0.26919734,0.1448152,0.029182302,0.8293446,0.82568437,0.06760903,0.0011998056,0.027682006,0.17354327,1.4899626,0.0044285743,1.4306747,0.0943862,0.71444863,542.669,278.171,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
9,4.805891,3.8903973,7.7743196,104.45332,0.72976613,0.944463,0.88739485,1.8362359,0.13688245,0.34505525,0.011976694,0.19331338,0.5765057,62.299126,4.109571,0.25128952,0.026961362,0.0021721611,1.1109221,0.28420913,0.03323844,18.654133,0.9239988,0.04229654,45.625153,0.0024493842,0.00061623467,0.09664881,0.54472613,0.18124402,0.029101666,0.58531135,1.3998853,0.4323157,-0.062333923,-0.1648045,0.13888627,0.50766784,0.006285843,1.6129448,0.13203362,0.3159121,363.62018,278.8917,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
