config,phi,T2x,THs,THd,th,eheat,aOHC,Lthx,lgla0,Ggla1,Ggla3,ggla,lgis0,Lgis1,Lgis3,Lais_smb,lais0,aais,k_toc,vgx,ggx,To,bdic,gdic,npp0,vfire,vharv,vmort,vstab,vrh1,vrh23,apass,bnpp,anpp,gnpp,bfire,gfire,brh,grh,ka,ga,k_tth,Cfr0,CO2pi,Lgla,Lais,tgla,tgis,tais,adic,aoc_1,aoc_2,aoc_3,aoc_4,aoc_5,toc_1,toc_2,toc_3,toc_4,toc_5,vrh3,aLST,grt1,grt2,krt,amin,vthaw,vfroz,ath_1,ath_2,ath_3,tth_1,tth_2,tth_3,aCO2,k_pH,T2x0
10,6.2128677,2.1377509,9.756175,272.2571,0.78211015,1.4330786,0.9247182,1.683525,0.1691301,0.330197,0.015161748,0.12744981,0.53001744,73.27363,4.8284006,0.4168636,0.14113142,0.0031574254,0.9095367,0.25185066,-0.004462386,18.268803,0.9374782,0.026782067,43.710773,0.0056746546,0.0002677291,0.11051922,0.33074242,0.2775267,0.0187032,0.81666064,1.2634784,0.037866164,0.003612861,-0.059047848,0.121054396,1.4539497,0.057775117,7.70738,0.06427925,0.58662075,419.4984,276.8405,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
11,6.130904,4.431539,6.267171,127.46987,0.6314605,1.4913535,0.9449126,2.2050693,0.20349959,0.29012147,0.03662167,0.18469858,0.29852542,190.82716,3.9313464,0.3684657,0.034315847,0.0008522795,1.2128927,0.1277343,-0.0074217604,17.948212,0.93689096,0.040359538,49.222736,0.009802699,0.0005330868,0.11068165,0.11361715,0.49980435,0.017091848,0.8996942,1.2684367,0.1307131,-0.028397705,-0.09807942,0.0718305,0.14353101,0.08796018,1.0736806,0.14936225,3.0157993,582.3166,279.58392,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
12,5.1468496,2.2634737,9.662462,232.84361,0.5287382,1.0110514,0.9053443,2.392766,1.05263,0.25192446,0.010627056,0.11647604,0.32039475,206.82147,5.2206016,0.3572422,-0.011876775,0.007888221,0.8146048,0.22367303,-0.0024358663,18.138494,0.95278096,0.058648348,46.5177,0.007544998,0.005943911,0.10421925,0.80730015,0.37475076,0.025088085,0.33037537,1.0600852,0.42464536,-0.015943497,-0.018187715,0.025474941,0.9000402,0.010340676,1.0526195,0.15920548,0.68725413,294.65024,281.03,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
13,4.553494,3.8564808,7.734511,48.369778,0.7233648,1.2078644,0.92996293,1.6902235,0.22207126,0.32621077,0.038666483,0.14666684,0.2503195,262.75854,7.1493855,0.52974886,0.050849475,0.0039711893,0.73645025,0.19406289,0.029697692,17.713121,0.7875796,0.018433949,47.041553,0.00391705,0.0021323618,0.121359564,0.048851024,0.2013964,0.020410167,0.5993635,0.934873,0.20782316,-0.0009015187,-0.066893555,0.034880877,0.6977749,0.055274587,1.3066795,0.121546194,0.88159335,713.2669,280.87277,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
14,5.523525,4.602871,9.276118,122.70125,0.63451105,0.7831365,0.906761,1.9211407,0.22009349,0.35345614,0.035929233,0.07386563,0.5254577,152.36879,4.9487305,0.5014137,0.11836039,0.0073670507,0.96168494,0.120629296,-0.002924988,17.444918,0.96571785,0.05385478,52.62849,0.0055725924,0.0043326174,0.1132361,0.07258292,0.6324308,0.015620369,0.601139,0.7861957,0.43352014,0.038283046,0.008887734,0.020771166,0.6068631,0.03618354,0.57435215,0.11098061,2.0460627,324.38458,281.0886,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
15,4.0604153,2.5711367,9.442407,105.22601,0.6606449,1.1299901,0.9048632,2.1358898,0.93581885,0.27653334,0.029144514,0.22584626,0.31914675,93.42197,6.4992776,0.41550905,0.05630385,0.0052366625,1.0647646,0.2396632,0.07138564,18.088118,0.8280563,0.060040176,50.499146,0.00657534,0.0009276555,0.108508125,0.046678457,0.24084687,0.0052355668,0.7579466,0.9022406,0.042735126,-0.024038939,-0.080452725,-0.058650382,1.2063874,0.036850803,0.5269537,0.112696506,1.8589215,755.4714,273.2078,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
16,5.287522,2.6835363,7.8456063,35.157413,0.6648719,1.656485,0.92800957,1.5469024,0.5574823,0.30343094,0.010153612,0.13499151,0.41660237,243.4316,5.4273944,0.4639498,0.10942634,0.0010905943,0.68602085,0.1495259,0.03717056,17.54251,0.9787502,0.059470262,43.689323,0.003634243,0.0036729944,0.10817121,0.04450533,0.13571794,0.017252823,0.33933857,1.1146352,0.20811443,0.04090665,-0.13727991,0.09713035,0.69409156,0.022426141,3.485069,0.15590343,0.49246415,529.48926,274.8357,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
17,5.439264,2.5849152,7.346337,191.90019,0.86579645,1.2625725,0.9207469,1.9561328,0.18815233,0.375921,0.06634413,0.11507404,0.4288152,193.45505,3.6572115,0.35406175,0.08623926,0.0021827887,0.8415142,0.13592662,0.069344886,17.278807,0.87612367,0.023482503,45.83764,0.006773378,0.0020012218,0.10612165,0.31803614,0.3252282,0.016351491,0.31304124,0.71925473,0.12488981,-0.010043419,-0.1338827,0.1376502,0.9073251,0.011434125,0.5211112,0.12304006,1.5222355,686.2311,286.86633,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
18,5.0995216,3.6973891,8.234874,130.78242,0.5675055,1.6570854,0.91994494,1.559423,0.17844035,0.3646801,0.040002745,0.18945718,0.5513474,101.950645,1.9540398,0.39048994,-0.01643776,0.0051402478,1.2256073,0.29714778,0.004015726,18.252424,0.9209302,0.02079675,41.40361,0.007858905,0.003150685,0.117911145,0.37535957,0.3211963,0.02241579,0.92030925,1.2868501,0.093639076,0.009741436,-0.27534455,0.13708803,0.9078702,0.10918252,1.7763623,0.11499081,1.1413872,533.4204,275.999,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
19,5.000198,4.6693177,8.907926,128.15132,0.48808536,1.9711806,0.89389867,1.8846709,0.45953166,0.2688164,0.02298366,0.08600934,0.5198129,97.82237,4.8382306,0.4045144,0.01665877,0.0053756516,1.17087,0.19741413,0.006675608,18.638424,1.0265173,0.04795129,48.787647,0.0042243907,0.0026530733,0.114149034,0.31145516,0.14301266,0.023521272,0.19737193,0.93260485,0.10289291,0.025443602,-0.1361591,0.2046774,1.7001944,0.041221794,1.4460751,0.2087995,0.824574,688.49994,280.56107,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
20,5.1639333,2.0731235,8.321516,183.92055,0.84318954,1.4490716,0.91546345,1.7653757,0.5017961,0.27970427,0.043363284,0.13893843,0.07062904,238.04128,5.5524306,0.20443065,0.08479947,0.00027375226,0.593545,0.18296026,0.008682882,17.633644,0.9734246,0.06477878,48.09729,0.007050448,0.0012997306,0.0919908,0.83097744,0.22778066,0.033525493,0.5133483,0.6876451,0.47122768,0.024861133,-0.18679368,0.049021203,2.0110607,0.030442905,0.43320525,0.07874216,0.10514778,393.73004,280.68924,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
21,4.8475103,3.9466722,7.965756,133.9193,0.58308154,1.5937507,0.9155156,1.6178764,0.63789684,0.2386608,0.050628435,0.05938527,0.43352774,208.53584,6.514034,0.3527605,-0.053356856,-0.0009677753,0.75578016,0.15262054,0.005972202,18.535421,0.95046645,0.049673986,49.8373,0.0048083006,0.0049921367,0.09568996,0.11260771,0.103178225,0.026149543,0.7839889,0.9360706,0.09443975,-0.010400206,-0.14311764,-0.025477966,1.0454088,0.029996332,0.29722524,0.1075355,0.35590705,601.9919,285.0564,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
22,4.6751766,2.962126,8.0457945,179.80878,0.8898978,1.3318578,0.89776605,1.4024161,0.47480825,0.38932174,0.018234294,0.041572,0.27084148,189.78249,6.6545134,0.4652268,0.13416198,0.004929632,1.2664908,0.12583964,-0.0026431137,17.48454,0.9976498,0.032007217,51.26383,0.007331719,0.001723691,0.11483976,0.061710674,0.13218544,0.028515557,0.6111349,0.9225941,0.12218913,0.018012559,0.18615751,0.18617028,0.36198235,0.032800827,2.0112278,0.12097604,2.2323647,464.36566,279.51947,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
23,5.7522297,3.0096684,7.4008946,74.96937,0.77391636,1.2462543,0.8915939,1.963517,0.49904665,0.29642844,0.010646309,0.07947495,0.2278881,149.3472,4.217902,0.41375908,0.025126947,0.005450668,0.9045125,0.24591415,-0.0098993275,17.763111,0.82812166,0.051010713,46.946968,0.0064367484,0.0035445483,0.10568897,0.33989552,0.16100588,0.035031296,0.61241746,1.0433278,1.5535623,-0.019771164,-0.13934858,-0.016856885,1.1141902,0.012702849,3.6432326,0.09423007,0.6988593,757.6456,277.4936,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
24,5.331289,3.0477335,10.571317,131.98752,0.6721282,1.5910952,0.90039986,1.9150047,0.25090542,0.2818516,0.018151939,0.08403814,0.36720738,137.40965,4.2992263,0.21598595,-0.006633184,0.0013960011,1.0865839,0.26006737,0.06606706,18.247349,0.8731277,0.021548033,44.352505,0.007483272,0.006033643,0.08948444,0.24155341,0.36490962,0.014227567,0.7961803,1.0305853,1.0779607,0.01486702,-0.07985024,0.019770492,1.6003052,0.015530696,2.066872,0.16548851,0.6650435,489.57736,281.27475,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
25,5.027294,4.4137864,7.4854136,104.33538,0.8129447,2.2157512,0.91480225,1.8181279,0.57869804,0.29336658,0.027668385,0.12673411,0.52243316,130.35825,4.279956,0.36808655,0.011017757,0.0016351632,0.9443009,0.22190867,0.020427749,18.73772,0.6891937,0.029869007,47.445587,0.003534012,0.0028822396,0.10509341,0.1103409,0.14824669,0.020755986,0.5862222,0.878468,0.47876152,0.045418087,-0.00039477577,0.049141183,0.7299748,0.07280251,2.2923846,0.12003681,0.26998878,522.4493,277.27078,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
26,5.951159,2.7379448,8.56848,147.97607,0.56461895,0.72043484,0.91504824,2.094801,0.48842433,0.37489545,0.032816406,0.062552646,0.34632528,211.19994,6.9360557,0.49343303,0.19941156,0.0015592956,0.9976456,0.10721162,0.023894006,18.141827,0.8431513,0.055117592,44.073555,0.008748873,0.0051904204,0.105280854,0.10692022,0.09225585,0.028956383,0.6203824,1.2297031,0.04631569,-0.023759704,0.011820404,0.16443402,0.94362843,0.00893218,3.4575388,0.09828738,0.9992516,629.74524,276.77512,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
27,5.1551895,3.2571719,7.2936797,35.772007,0.74999225,2.214681,0.8963661,1.5803977,0.56514317,0.34843707,0.0063167396,0.1930067,0.10241272,264.13223,8.07753,0.31784102,0.085218735,-0.00078046526,1.0982282,0.24393389,0.0369521,17.481041,1.0224321,0.009964344,45.876156,0.0028441292,0.003223068,0.124915384,0.055455927,0.13341628,0.012089679,0.634252,1.0701463,0.8408832,0.015619113,0.057271276,0.06440183,1.0182326,0.037563555,1.3877782,0.07814423,0.08249982,621.27734,283.84116,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
28,5.243008,3.791723,8.398722,189.75858,0.60887825,1.46032,0.8859056,1.7395729,0.32678413,0.3688445,0.011142796,0.12559375,0.40808237,214.34015,5.010437,0.6823653,0.12818208,0.0065395716,1.0962874,0.241038,0.007234683,18.126385,0.73258656,0.027146915,43.926907,0.00868298,0.000929816,0.10386263,0.21932074,0.056415655,0.03522475,0.7251379,1.2835387,0.26900187,-0.018301671,-0.15679447,0.047788113,1.1592617,0.0028042798,3.4563496,0.17518795,0.36834458,439.69922,282.46835,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
29,5.098237,3.218543,7.856813,117.64679,0.59226483,1.4257237,0.91662556,1.9659661,0.20420223,0.39979228,0.015012801,0.088889,0.40107518,208.9415,6.2409225,0.30051357,-0.032614306,-0.00089008873,1.1473237,0.23483436,0.0130328555,18.152332,0.93085873,0.044573184,43.96984,0.008826077,0.0057516536,0.0951828,0.3130794,0.4072219,0.010651596,0.5910253,1.4098512,0.2486944,0.0017249414,-0.25163385,-0.15604389,2.1073883,0.034966215,4.95318,0.11402317,2.3224075,475.06656,276.29315,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
30,5.103105,2.3743045,7.226422,49.05404,0.6053471,1.693494,0.8952012,1.9040458,0.1200638,0.4257298,0.009130175,0.047531974,0.7031233,108.69958,6.0753536,0.24936084,-0.045149993,0.0003446003,1.0235493,0.181871,0.02827781,17.552782,0.98440486,0.051717464,44.68444,0.0049938452,0.007745678,0.123707026,0.22150962,0.06275069,0.022469431,0.47205743,0.8471579,0.5756083,-0.02199008,0.056393933,0.26137128,1.5183781,0.033145744,2.8477912,0.14772348,0.18347456,602.5239,281.59647,380.0,1200.0,190.0,481.0,2093.0,4.488762,0.866734,0.061618,0.037265,0.019565,0.014818,1.2915007,16.676,65.102,347.58,1000000000.0,8.273352e-05,1.872,0.1223,0.002946,1.341,0.9811,0.1411,0.01089,0.05086,0.1167,0.8325,18.23,251.5,3494.0,2.124,1.0,0.60890347
