year,T,d_T,CO2,d_CO2,Td,Hgla,Hgis,Hais_smb,Hais,Co_1,Co_2,Co_3,Co_4,Co_5,Cd,Cv,Cs1,Cs2,Cs3,a,Cth_1,Cth_2,Cth_3,ERFx,Eco2
1750,0.0,0.0,278.82336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.09824,76.81758,350.73383,599.8202,0.0,0.0,0.0,0.0,0.0,0.0
1751,-0.001104223,-0.00045792438,278.34338,0.07633157,-5.976962e-06,0.39801946,0.3497516,0.00043750432,0.0675474,-0.030344576,-0.0039158547,-0.002466367,-0.0013145796,-0.0009993366,-0.013491016,405.01785,76.816345,350.73386,599.8202,-2.2536426e-06,-6.068501e-05,-0.00014370418,-0.0010275099,0.003103718,0.03712707
1752,-0.00045785375,9.536999e-05,278.4167,0.07284834,-8.42289e-06,0.7943916,0.6990311,0.0006189106,0.13517712,-0.029339762,-0.005287126,-0.0034397375,-0.0018505563,-0.001409845,-0.03946785,404.9582,76.810616,350.73288,599.8202,-3.1639045e-06,-8.1974424e-05,-0.0002011766,-0.0014422339,0.0075748097,0.062852465
1753,-0.0009134831,-0.00059340906,278.48907,0.07235727,-1.3321819e-05,1.1883742,1.0474063,0.0009808418,0.20269373,-0.022737263,-0.005792641,-0.0039054942,-0.002122878,-0.0016212055,-0.06219073,404.91724,76.805824,350.73044,599.8202,-4.9942423e-06,-0.00012690965,-0.00031708984,-0.0022763321,-0.00037992693,0.08868882
1754,-0.0016446719,-0.00022448787,278.5614,0.076632224,-2.2152026e-05,1.5797923,1.3947707,0.0016324775,0.27004835,-0.015436775,-0.005796739,-0.004068136,-0.0022369786,-0.0017129532,-0.07895376,404.89307,76.80278,350.727,599.8202,-8.29742e-06,-0.00020912151,-0.00052645925,-0.003781708,-0.0002023099,0.12195066
1755,-0.0013624589,0.001020951,278.6423,0.068271466,-2.9406867e-05,1.9693495,1.7415248,0.0021722976,0.33742094,-0.008563359,-0.005435753,-0.0039989813,-0.0022287075,-0.0017119652,-0.08962001,404.88495,76.800255,350.72293,599.8202,-1.09895855e-05,-0.00027051635,-0.0006960359,-0.0050080717,0.009074512,0.1263237
1756,0.0003972299,0.0002481523,278.69794,0.066438794,-2.709756e-05,2.3580608,2.0882509,0.002014911,0.4050741,-0.0047698785,-0.0050993823,-0.0039329794,-0.002221631,-0.0017118828,-0.095710665,404.8866,76.797134,350.7183,599.8202,4.6699256e-07,5.217141e-05,3.7230813e-05,0.00021677965,0.0052511278,0.13321777
1757,-0.00086615427,-0.00015860722,278.7752,0.07076572,-3.163922e-05,2.7438734,2.4337602,0.0023580901,0.47247013,0.0017943456,-0.004208243,-0.0035058379,-0.0020215604,-0.0015650797,-0.09727966,404.90137,76.797844,350.71353,599.8202,-1.3054184e-06,1.6755639e-06,-7.5935306e-05,-0.000591383,-0.0021229894,0.16571203
1758,8.001542e-05,0.0012433471,278.8395,0.064709105,-3.1034855e-05,3.1283057,2.778924,0.0023263872,0.54000235,0.006121996,-0.0032837726,-0.0030304915,-0.0017927552,-0.0013959717,-0.094126165,404.9251,76.798164,350.7092,599.8202,8.8186124e-07,6.0451508e-05,6.38331e-05,0.00040603636,0.010099298,0.16493258
1759,0.0016205399,4.8348546e-05,278.90463,0.07291334,-2.2095177e-05,3.5117683,3.123977,0.0016843129,0.6077766,0.0095295925,-0.0022868097,-0.0024815602,-0.0015213223,-0.0011939233,-0.08758891,404.95682,76.79826,350.70517,599.8202,4.1609263e-05,0.0011533009,0.0026604657,0.01897483,0.002176587,0.1931749
1760,0.00017671278,0.00027953504,278.98532,0.08076456,-2.1019065e-05,3.8922381,3.4677458,0.0016142976,0.67526084,0.015676621,-0.0008025495,-0.001596076,-0.0010665715,-0.00085187826,-0.0768277,404.99908,76.80216,350.70187,599.8202,4.1527077e-05,0.001089851,0.002644658,0.018931922,-0.0003939857,0.23102476
1761,0.0021796098,-0.00017516204,279.06616,0.072527096,-9.1074535e-06,4.2720723,3.8115885,0.00075071404,0.74307,0.019630065,0.0006595556,-0.0006816577,-0.00059011445,-0.00049226254,-0.06164037,405.0498,76.804214,350.69965,599.8202,9.100556e-05,0.0023635142,0.0057890248,0.041485295,-0.0015943267,0.22431856
1762,-0.0001736114,-0.0018775158,279.13037,0.07091967,-9.997884e-06,4.6483154,4.153792,0.00081950065,0.8104264,0.024954652,0.002434737,0.00047169544,2.019731e-05,-2.976408e-05,-0.042332582,405.10657,76.81093,350.69873,599.8202,8.9682726e-05,0.0022024112,0.0056816824,0.040870283,-0.021583974,0.23724172
1763,-0.0015754215,0.00066563475,279.208,0.073467866,-1.8471243e-05,5.021633,4.494734,0.0014436987,0.87749994,0.030482186,0.004431561,0.0018145717,0.00073969207,0.00051717786,-0.018219268,405.1707,76.81866,350.6999,599.8201,8.551322e-05,0.0019732565,0.005393258,0.038957562,-0.00500898,0.25809512
1764,0.0011576583,0.0012501806,279.2773,0.07168901,-1.2105064e-05,5.394848,4.836042,0.0009850226,0.94503003,0.032445908,0.0061617475,0.003044954,0.0014087174,0.0010274563,0.009216044,405.23877,76.82261,350.70267,599.8201,0.00010345012,0.0023511727,0.006515534,0.047124397,0.0040386,0.25736916
1765,0.00092493964,-0.00086392957,279.35138,0.07457511,-7.0330084e-06,5.7659464,5.1765504,0.0006185522,1.012486,0.03611746,0.008117273,0.0044644647,0.0021872572,0.0016225785,0.039229263,405.31204,76.82887,350.70667,599.8201,0.00011316252,0.0024876867,0.0071089375,0.05153908,-0.015208084,0.27588516
1766,-0.0005702008,0.0005835205,279.42648,0.07267034,-1.0081335e-05,6.134084,5.5157638,0.00084447156,1.0796417,0.040852558,0.010299156,0.0060792807,0.0030799012,0.002306291,0.073022254,405.39047,76.83767,350.7125,599.8201,0.000110794426,0.0022918608,0.006929706,0.05044462,-0.0077797165,0.2856613
1767,0.002091981,0.00017867736,279.4967,0.07161056,1.296753e-06,6.5020957,5.8553195,1.56075e-05,1.1472422,0.042417057,0.012207991,0.007580386,0.00392329,0.002954678,0.10964523,405.47153,76.84308,350.72003,599.8201,0.00014896,0.003197213,0.009335702,0.06783105,-0.0070249536,0.2851874
1768,-0.00021284616,-0.0012721583,279.5697,0.07367969,1.376356e-07,6.866614,6.1932645,9.99393e-05,1.2143967,0.04702041,0.014479826,0.0093598785,0.004925611,0.0037258936,0.14910994,405.5568,76.85304,350.72922,599.8201,0.00014694004,0.002973078,0.0091698235,0.06689065,-0.025013823,0.30453837
1769,-0.0004523359,0.0007947064,279.6441,0.073799096,-2.3115228e-06,7.229058,6.530413,0.00027915937,1.2814758,0.05061099,0.016743893,0.011193557,0.0059692743,0.004530918,0.1922593,405.64548,76.86258,350.74057,599.8201,0.00014445266,0.0027482673,0.0089748,0.065737404,-0.009928091,0.31300354
