config,T,d_T,CO2,d_CO2,Td,Hgla,Hgis,Hais_smb,Hais,Co_1,Co_2,Co_3,Co_4,Co_5,Cd,Cv,Cs1,Cs2,Cs3,a,Cth_1,Cth_2,Cth_3,ERFx,Eco2
0,1.1047225,0.06770334,400.10986,2.4751296,0.23706159,54.46358,69.55934,-20.22681,-45.8758,2.2117763,1.7785343,2.7577517,2.8146589,2.7612307,173.50684,387.68024,95.35525,163.0636,212.69377,0.05108673,0.626865,2.409326,18.06082,0.76377904,8.770575
1,1.3254452,0.058250777,399.76474,2.449756,0.79479396,41.532043,73.398544,-30.223568,-27.133728,2.798103,1.997431,2.7090354,2.2494109,1.9660094,120.2254,476.61758,143.09195,136.04007,1074.3805,0.14452277,0.08920507,2.0396142,51.504585,0.07961855,7.9387145
2,1.1836948,0.043326236,399.55115,2.1254108,0.26736036,33.55665,23.27165,-21.073343,51.40686,2.7342887,2.0339475,2.8642297,2.4293735,2.1331353,131.07378,413.1119,183.6586,111.533646,14.039454,0.17017308,0.4334994,6.7137537,85.4793,1.036378,6.0490828
3,1.3070644,0.05662755,399.9301,2.468626,0.18205118,120.49605,82.60897,-35.34867,-21.635603,2.1198814,1.7229722,2.7191343,2.7680168,2.6802201,168.41373,491.54752,79.41769,62.342487,222.80197,0.29181463,0.6160098,10.139089,121.60661,0.97463435,8.445711
4,1.1795334,0.045311622,399.76276,2.5559297,0.083371855,45.68642,45.896313,-19.420713,25.997677,2.961425,2.1185348,2.8166988,2.1459177,1.7810682,107.5814,444.51865,206.965,322.84766,929.8415,0.2738816,0.536131,8.791819,109.29045,1.9870975,8.267321
5,1.069061,0.042098403,399.983,2.385142,0.21984017,119.55027,85.09068,-11.724527,-5.410073,2.624786,1.9764242,2.7988331,2.3260999,2.008617,123.03264,316.6302,40.17686,72.307175,172.22702,0.07029875,1.2539957,4.2909126,31.773584,-0.048233427,6.772779
6,1.2217169,0.046375263,399.7652,2.4673977,0.20666811,85.43208,98.13347,-18.987082,-2.2288508,2.0198298,1.6490358,2.5897007,2.5400784,2.399286,150.29759,580.8296,31.39555,25.10991,170.8962,0.15927055,1.0636137,10.803447,103.16539,0.1989731,9.687945
7,1.283382,0.049528874,400.06415,2.4181747,0.71377003,111.42021,76.965576,-39.949615,-3.376121,1.8430243,1.48333,2.356509,2.4182425,2.3703678,149.08427,659.6981,45.39157,72.15724,533.91187,0.08132802,0.17262621,2.1362364,21.976147,0.9439496,10.251345
8,1.056309,0.04102906,400.02017,2.5480003,0.1256957,120.616165,98.08163,-16.85486,10.724291,2.1832566,1.6787426,2.4109583,2.1055307,1.874423,115.66376,520.06995,103.58242,297.51874,489.0057,0.09575895,0.8346082,6.254955,52.77141,0.6678902,8.56955
9,1.1440763,0.04726038,400.12396,2.6015944,0.25578788,123.60427,106.83435,-27.530283,-39.412792,1.7740974,1.4089224,2.0980332,1.880441,1.6811378,104.170555,520.4601,188.48466,530.2523,432.36285,0.16539855,0.8562158,8.938019,85.51942,-0.09032979,9.608967
10,1.2755266,0.040902697,399.7889,2.472661,0.16095847,84.74997,119.970764,-46.223434,-9.786778,2.7789853,1.8935068,2.380768,1.7733654,1.4772975,88.66698,528.40704,30.154385,70.7321,699.55646,0.1761978,1.1422117,9.27923,81.88727,0.13974087,8.743974
11,1.0502644,0.049181245,400.04868,2.4714932,0.30030385,160.49869,39.6386,-10.352234,2.85517,3.066467,2.1800005,2.8421645,2.2521167,1.9305773,117.016945,481.17148,105.487595,112.76311,593.3937,0.06848697,0.67910254,2.9947238,22.971807,0.57057154,9.429497
12,1.1113373,0.03494357,400.20135,2.4735188,0.16369832,84.574135,70.9088,-18.546219,35.445076,2.859015,2.069944,2.7596486,2.192463,1.8726056,113.84294,554.2246,210.36787,119.28558,912.8711,0.24188629,0.88962716,10.415644,106.73175,0.22022276,10.2793045
