config,T,d_T,CO2,d_CO2,Td,Hgla,Hgis,Hais_smb,Hais,Co_1,Co_2,Co_3,Co_4,Co_5,Cd,Cv,Cs1,Cs2,Cs3,a,Cth_1,Cth_2,Cth_3,ERFx,Eco2
13,1.1278744,0.042030167,400.21802,2.4510021,0.19701988,51.739296,89.79909,-15.761963,-14.415128,2.538353,1.932658,2.7092783,2.211666,1.8943357,115.855446,410.0078,51.178394,568.1643,306.86554,0.08244483,1.1040736,6.7219224,56.56263,0.5313759,8.067558
14,1.0161846,0.040819593,399.96112,2.514518,0.24667993,81.95977,101.30594,-19.619602,-11.244273,2.2328458,1.7510926,2.650991,2.4562259,2.2481647,139.82993,496.40747,41.139412,391.92975,936.0331,0.08511505,1.0891473,4.9071455,37.575493,-0.03098886,8.541081
15,1.1977088,0.044695932,400.26196,2.4959004,0.40200227,154.81886,103.74504,-33.955902,-45.22675,2.0069358,1.570515,2.3172572,2.0313983,1.7946202,110.79974,492.1398,112.8958,639.0165,1219.1077,0.079058275,0.38555336,4.5512304,45.405487,-0.18172288,9.717611
16,1.0974087,0.04402219,400.0418,2.484343,0.29003406,132.67671,52.831787,-38.89736,1.8793097,2.8794436,2.104476,2.8265948,2.2545414,1.9268544,117.209435,455.11725,47.637917,305.56738,403.10483,0.070959404,0.40639812,3.2346177,28.180374,-0.062425423,8.108342
17,1.0426732,0.040731825,399.54977,2.5364861,0.12896986,93.517494,34.282764,-22.936863,-30.558374,2.5553768,1.8253319,2.3865669,1.8894503,1.6176649,98.09306,755.95544,221.56396,765.3489,209.90353,0.17055434,0.952701,6.5638237,54.566822,0.06783621,14.021739
18,1.1401801,0.04589825,399.95377,2.5090656,0.09916194,80.24703,81.652176,-18.560825,-3.2826755,2.4480453,1.9149268,2.8697047,2.6460629,2.4238927,150.67352,451.31778,55.18693,436.07123,753.2,0.1316896,0.2861475,3.787635,39.898365,0.75713044,8.482061
19,1.1410679,0.043059345,400.16904,2.502274,0.36069965,101.28407,35.479107,-26.943213,-7.3392434,1.9157159,1.5365751,2.4273016,2.5104034,2.4742944,155.70874,433.30145,128.101,191.71193,165.78317,0.1191411,0.61035794,6.139021,57.0407,-0.10867789,7.325074
20,1.0130054,0.040828593,399.8269,2.4746623,0.1677274,150.43301,23.455418,-17.766613,-32.886284,2.6161623,1.9608746,2.787769,2.3469894,2.040214,125.32194,569.28046,94.30153,355.82028,570.13586,0.15669437,0.82654905,8.664068,80.76936,0.29624367,9.116315
21,1.0417317,0.03966283,399.89438,2.476767,0.27120516,95.812805,71.296616,-17.49611,-11.083368,1.9463536,1.494787,2.1319058,1.7944931,1.5592968,95.78557,493.68985,69.94536,72.38158,494.03506,0.24018952,1.1123409,12.421301,119.50914,-0.30197188,7.754348
22,0.9591402,0.043242514,400.1316,2.467484,0.27500588,105.03778,45.75599,-12.770117,-12.518568,2.4381812,1.9421206,3.0007782,3.0268314,2.9454403,184.95901,405.84586,86.88576,129.83327,142.8442,0.103115045,0.26967803,3.613729,39.488815,-0.037145067,8.917259
23,1.0898259,0.043541778,399.58362,2.4414792,0.19177952,83.06596,65.906296,-15.321978,1.9812511,3.251997,2.327701,3.1088686,2.5344167,2.1984923,134.05075,458.3897,96.92798,914.2799,1017.34375,0.14186111,0.20259634,3.7121406,51.71743,0.23982343,10.200705
24,1.1116161,0.060044397,399.20737,2.464229,0.2193177,41.428818,95.90812,-31.80775,26.703604,2.3029032,1.7539841,2.529102,2.2769856,2.064897,127.9092,439.5147,67.81508,340.56406,1180.3328,0.15977362,0.4502597,5.7443933,61.194355,0.10446338,8.420484
25,0.9956396,0.03172252,399.81412,2.4801083,0.11277749,64.455795,39.47146,-20.84015,33.11179,2.616476,1.9489822,2.7433476,2.379713,2.118854,130.57892,607.34607,81.67599,301.51715,244.84795,0.10812446,2.096314,8.2013,61.780243,0.12412803,10.832721
26,1.164915,0.058131583,399.7859,2.4573767,0.15654513,50.919773,109.64174,-21.22249,23.134674,1.7515217,1.4471923,2.2499685,2.1613364,2.0123825,125.83357,581.00214,198.53075,269.06927,1115.9808,0.15822616,1.3804233,8.816713,73.71635,0.443717,9.218065
27,1.0401484,0.04108908,399.82803,2.5262291,0.457827,88.83595,34.610146,-19.234188,-2.8345737,2.8483796,2.153923,3.132886,2.8616455,2.611031,161.98355,487.1114,111.125404,623.5367,203.4439,0.19980432,1.525175,8.745802,70.59352,0.6601375,10.298119
28,1.1946459,0.06740062,400.00308,2.4847898,0.2436276,26.635166,58.186302,-26.95042,-0.7716672,2.4174838,1.9163964,2.7175817,2.3226879,2.0493686,126.32329,507.258,79.88995,638.2733,1042.1473,0.14575593,0.9558805,6.894932,61.87967,0.8213903,9.062172
29,1.0087492,0.060214806,400.0027,2.4696946,0.24287923,80.221054,123.40106,-20.691137,29.397243,2.3218567,1.7238913,2.4796166,2.2137043,1.9987943,123.61647,622.8331,141.06538,291.94046,2124.655,0.11699064,0.6523159,4.848907,40.695972,0.13853121,8.867604
30,1.0598512,0.041625254,400.48987,2.5223927,0.15807407,86.705505,75.12735,-26.333637,0.013753921,1.9895995,1.5872014,2.3485057,2.0437863,1.7925199,110.71098,521.33984,60.342186,237.81563,2310.5818,0.1348922,0.20220128,3.777556,58.869854,-0.16805486,8.503408
31,1.134236,0.033131737,400.0342,2.496458,0.14020169,111.098816,29.813889,-20.614416,-18.995743,1.924557,1.5250608,2.392416,2.4915743,2.4590392,154.80542,544.41565,133.76584,178.70181,1408.3873,0.09978132,0.40830684,3.7694144,34.808037,1.060651,8.487775
32,0.98161757,0.041760013,399.89276,2.4711525,0.10385144,92.18163,41.54362,-9.087779,2.8838198,2.0555255,1.5660465,2.2067316,1.8409697,1.5958216,97.94115,723.6532,145.69391,142.99191,848.3075,0.08418478,0.8912341,4.0710425,31.55959,0.72707075,12.2347355
33,1.0256902,0.04742426,399.96057,2.398255,0.08047341,52.900616,74.95285,-17.714354,3.3470821,2.5398116,1.975139,2.9467778,2.8204525,2.6532807,165.58646,616.47723,69.92542,309.62262,2339.1238,0.18196556,1.4319898,10.260662,89.770424,-0.01664338,9.964212
34,1.1993492,0.043451253,399.08984,2.4335344,0.2902214,90.65239,38.24329,-23.82363,-15.558032,2.2831285,1.7529926,2.5935915,2.3348122,2.1083348,130.63408,521.89606,206.78381,155.67563,816.83997,0.20792067,0.31234002,6.143732,95.120705,0.042830445,7.8539824
35,1.0438341,0.039639045,399.90625,2.537765,0.21494636,70.88449,62.553917,-27.815907,24.837902,2.6515028,1.881807,2.503057,2.0090573,1.7269729,105.16203,440.57184,103.27462,211.83594,877.02405,0.21063618,4.6644893,17.847063,133.70322,0.35517904,9.307737
36,1.1332352,0.047042966,400.02826,2.4652274,0.15439096,133.23923,102.09564,-25.646418,-19.322205,2.2415614,1.7197678,2.4761543,2.132715,1.8786036,115.745285,432.32104,171.52927,364.55853,587.4238,0.27150425,0.6067006,8.376032,91.91235,0.15920584,7.438984
37,1.0428808,0.03532664,399.7141,2.5114846,0.32659352,59.04191,32.68834,-16.549404,-47.93974,1.9549071,1.5165788,2.293846,2.0759923,1.8546724,114.955284,578.33203,50.261696,30.728098,117.9301,0.13848719,0.44075948,6.409261,71.01631,0.19760823,9.239701
38,1.0013502,0.03448439,400.81787,2.3600144,0.22992551,98.28874,112.74741,-16.043407,-54.520454,1.9230387,1.4658737,2.120779,1.8984709,1.7134279,106.04421,406.58554,40.482536,180.28593,393.83344,0.19714224,2.9226837,14.089064,110.0486,0.15501566,7.344278
39,1.0820053,0.034125965,399.80304,2.573752,0.11650932,155.59921,79.67888,-21.635668,8.65679,2.275452,1.7412205,2.5816307,2.3950992,2.2113228,137.47876,617.0587,108.36952,483.27945,1189.2334,0.20199637,1.5149614,10.53054,87.035995,0.44477755,9.266389
40,1.055176,0.054877162,399.25424,2.574497,0.33064523,112.4919,132.9996,-15.283463,-18.942623,2.3565395,1.9246219,2.9884248,2.8871124,2.7125468,169.68454,588.13306,154.71101,419.77435,84.118965,0.1837284,1.9153416,11.73932,96.11072,1.0460478,12.774546
41,0.90915775,0.029160708,399.98422,2.4960017,0.22284254,130.46638,47.663612,-18.32013,7.587079,1.9970255,1.5704207,2.421492,2.3553348,2.2251625,139.13937,535.371,57.685577,1122.9258,1098.8527,0.12524556,0.6792611,6.97803,67.012924,-0.3443395,10.981493
42,1.079126,0.024970248,399.79108,2.2951996,0.105624974,93.85133,80.661316,-21.849773,55.009857,2.2932038,1.8523537,2.843017,2.7996216,2.670887,167.35352,467.4477,31.483353,522.27167,370.55392,0.042335004,0.15530889,1.5422249,15.922724,-0.7066093,7.8261733
43,1.0858762,0.038266726,400.92203,2.651433,0.2361565,8.946271,9.2086735,-21.858662,-54.763145,3.0430636,2.2027526,3.1135647,2.7234483,2.4356043,150.18642,465.97568,106.34634,115.93001,1205.4392,0.1660148,0.42818627,5.723378,61.761818,0.037149645,9.335245
44,1.0292099,0.03345863,398.8885,2.1718419,0.09263375,166.50449,106.6613,-13.738409,-39.790165,2.2043486,1.7450253,2.5558217,2.3154838,2.1015062,130.38506,470.34677,82.7231,219.22319,952.96155,0.11464365,0.6503063,6.2224627,57.655678,-0.020030642,7.4428573
45,1.2051697,0.052728523,399.43832,2.4981961,0.1365957,95.200195,89.8018,-29.355988,6.809325,3.103434,2.397935,3.6260362,3.5352554,3.358728,210.02261,435.21597,130.41794,327.69003,302.4638,0.1620042,0.2735054,5.1804013,73.03562,0.35603482,9.128816
46,1.1942577,0.04363307,400.3191,2.6545758,0.27014214,93.90486,90.895325,-18.579409,-19.507973,3.1978552,2.3711848,3.4104457,3.0856926,2.8129544,174.2432,750.62317,109.68807,189.68877,1783.6039,0.08750477,0.34641257,3.7902443,37.298874,0.71231735,11.926377
47,1.2316067,0.046965633,399.7613,2.4666357,0.3073854,128.56737,81.035706,-32.468575,18.210115,2.4157817,1.8049834,2.4636319,1.8802645,1.5436002,93.229645,472.57602,215.90263,479.90802,969.46906,0.36291325,3.6276383,25.32513,212.71301,0.7230156,8.260424
48,0.8870026,-0.024312958,399.92596,2.4292526,0.15345104,90.72989,51.020607,-13.497412,-9.288033,2.3389122,1.8075511,2.8091617,2.792419,2.68139,167.97415,409.3258,94.75513,529.0211,239.90848,0.16073689,0.10089032,2.7841566,47.162544,-0.7074658,9.6505375
49,1.2074032,0.05006957,400.1753,2.4501195,0.38057363,130.61606,56.02334,-23.561539,31.210623,2.7294512,1.9986312,2.6823447,2.077948,1.7389666,105.29143,399.6244,99.18067,203.47736,598.72205,0.16374932,0.41840696,4.6043806,45.18592,0.7994247,7.6564765
50,1.1115535,0.042669322,399.83456,2.4686434,0.23818561,146.57784,74.404724,-24.520975,-20.337627,2.4860513,1.8398895,2.607211,2.2875142,2.0493915,126.45473,505.33975,42.32657,62.317894,193.87717,0.132337,0.10368492,2.250835,51.74122,1.0614648,8.409848
51,1.1284637,0.04329014,399.3409,2.4559934,0.38733405,147.93008,79.00321,-12.468066,-0.05818675,2.8066385,2.1823866,3.28564,3.08763,2.8674126,178.60976,523.0055,201.1148,196.4298,445.14078,0.21187231,0.49560803,6.8592467,74.75854,0.08221433,7.843049
52,1.1379635,0.04296999,399.83276,2.3169775,0.20257401,113.42427,103.04563,-20.611637,-0.40730113,1.8762884,1.5439141,2.4960895,2.6132119,2.595837,163.72464,413.51114,35.31958,1088.4529,796.5742,0.20203213,1.4457071,10.277136,86.235435,0.2918991,10.747051
53,0.9917284,0.036927037,399.88882,2.3739574,0.11544502,109.8027,98.933365,-10.8398075,-14.457278,2.4867542,1.9144218,2.816969,2.5750523,2.348697,145.7955,711.884,253.19283,234.04976,1028.2526,0.18181407,0.3779015,5.5632334,63.07622,-0.048580408,11.824694
54,1.1289918,0.03807489,399.8234,2.4801722,0.22836351,106.739586,60.662163,-21.06305,23.503605,2.8107924,2.035913,2.7134767,2.1504052,1.8337492,111.32841,412.25116,128.28195,76.26966,388.9916,0.14359158,0.6193542,7.400412,74.95896,0.006844127,8.256548
55,0.9456766,0.034748185,399.6466,2.6178567,0.2457201,108.55681,107.65245,-20.1292,-40.048256,2.4605353,1.8247875,2.498011,1.9681457,1.6557223,100.64296,618.9053,24.446056,83.04558,257.4577,0.09190539,0.81687987,5.106552,41.318768,0.09122002,8.532206
56,1.0201657,0.041273385,399.73364,2.5345578,0.32154328,60.77816,92.7607,-14.616063,-2.119761,2.7414403,2.0601249,2.9783583,2.7388701,2.5123029,155.93234,430.14786,72.72425,191.0297,368.9781,0.12590948,1.0374123,8.007616,68.26789,0.023605037,8.663336
57,1.0243703,0.03342702,399.96304,2.55925,0.25481635,184.5665,70.71495,-13.240538,6.1298795,1.9159577,1.5349317,2.3408904,2.198294,2.0272949,126.34817,423.40756,108.34359,33.872475,686.1166,0.1442661,0.4251097,5.6792426,61.930977,-0.28556007,7.255517
58,1.0153052,0.036606714,399.8,2.467814,0.112122476,111.76341,63.890526,-13.469301,44.3879,2.37575,1.7681081,2.5552704,2.303973,2.0915904,129.52713,474.49664,110.399155,439.03522,226.2756,0.23823686,0.82534486,11.002525,113.7182,-0.34655935,7.711319
59,1.0714531,0.047239747,399.7843,2.385487,0.21243005,87.61581,9.329725,-24.657055,-47.63378,2.2577324,1.763966,2.6816783,2.4376197,2.181904,135.32825,523.4352,171.54822,173.93808,831.9235,0.14212044,1.0625587,9.745523,90.69901,0.31308678,10.488108
60,1.0560021,0.038423307,399.97028,2.4879107,0.112155914,106.6635,58.986134,-19.871521,20.247116,2.1891758,1.7271564,2.6345782,2.543838,2.3916287,149.46404,486.20523,104.76189,126.78114,886.522,0.102948025,1.721633,7.589302,57.93522,-0.36860543,8.444227
61,1.1761515,0.06381613,399.94534,2.7822742,0.7434079,53.79363,70.90159,-30.94878,0.80593765,2.30123,1.7212143,2.3923874,1.9892709,1.7295473,105.94486,586.9818,390.03986,219.7916,914.9274,0.098488346,0.6000035,4.8410406,42.526886,0.0019455671,11.316267
62,1.0308491,0.023988163,400.45624,2.352604,0.10623032,120.73726,76.02962,-18.823456,-1.4005063,2.0961995,1.7027956,2.746883,2.829723,2.7795167,174.91165,628.3579,233.68692,879.0093,157.37094,0.11031036,0.86331046,4.983157,40.985435,-0.42134172,13.913214
63,1.0451657,0.047916956,399.85187,2.481153,0.17058142,66.24962,77.28401,-14.988123,12.084721,2.4508705,1.8194015,2.5936708,2.2346892,1.9749527,121.65086,543.6089,145.45004,441.3543,627.4899,0.083224714,0.20263764,3.260334,38.798927,0.0011849642,11.332573
64,1.1600194,0.05381111,400.03375,2.437718,0.20925197,82.80874,92.492836,-24.871227,34.811016,2.1025603,1.6961098,2.6320763,2.5532289,2.4081414,150.617,456.57104,106.12274,348.84378,495.02368,0.2145143,0.78948563,9.963049,113.05565,0.1336221,6.798005
65,1.0966933,0.042505097,399.81958,2.4677281,0.2080394,186.71146,45.804516,-18.639952,10.805344,2.2921703,1.7910244,2.7344255,2.633845,2.4696822,154.22646,508.25082,66.63696,302.9311,843.0296,0.25177768,2.1964803,12.047465,95.43369,0.111203335,7.9160905
66,0.8237239,0.047052067,399.79352,2.460335,0.014692789,42.208355,87.74457,-3.7610683,15.7302475,2.3694472,1.8471699,2.8064468,2.7293987,2.5750785,160.96088,598.87384,121.09039,358.1581,1268.1383,0.11132494,0.7711747,5.6752987,49.059803,-0.6817837,8.727113
67,1.0406048,0.025597904,400.0321,2.627624,0.11673622,61.549263,54.36375,-20.329279,27.072342,2.0205722,1.641592,2.609898,2.4852328,2.2474465,140.11682,576.2924,69.57002,171.77063,861.931,0.109550074,0.2642694,3.534104,37.402115,-0.15838024,9.745896
68,1.1022539,0.057772227,399.8417,2.466789,0.3269863,131.09383,73.795425,-25.820187,20.599913,2.299113,1.6504676,2.2514234,1.8990967,1.6692512,102.32693,537.749,49.70942,41.83407,1185.4838,0.06617484,0.32420892,3.141641,28.514393,0.38803548,9.199441
69,0.97410905,0.009536462,400.17682,2.4817426,0.20588954,82.62573,85.79494,-21.688974,-34.976692,2.9302173,2.1652749,3.0266414,2.6361034,2.3565884,145.16013,425.8344,52.633312,137.3269,637.79083,0.10684816,0.60716593,4.626889,41.07434,-0.42577225,7.8122864
70,1.1997287,0.04743301,400.27304,2.5613298,0.12709673,112.91184,68.11482,-25.426388,43.32908,2.0039897,1.5357102,2.245292,2.0213869,1.8312948,113.455605,430.29956,41.354256,191.31496,435.23877,0.20996709,0.7331841,8.0782585,77.78257,0.13764338,7.58667
71,1.1677084,0.051191915,399.76657,2.4648423,0.14793564,94.00087,102.92599,-14.793155,-18.982414,2.767387,2.1529355,3.2075925,2.8782716,2.5812058,159.89696,412.125,79.89352,110.19548,373.23843,0.43110928,0.6751307,11.112969,142.86491,0.4658784,9.480099
72,1.038116,0.038621224,399.8742,2.4733548,0.23024113,74.45216,48.376587,-14.299013,-18.767353,1.9147243,1.5710472,2.4614894,2.4132314,2.2756495,142.58577,452.48627,252.33902,899.5467,1257.2963,0.029620957,0.11390722,1.2303805,11.695016,-0.06888385,9.54966
73,1.011101,0.03782124,399.91275,2.4071882,0.093359575,165.68303,147.8284,-16.0742,-1.7058554,2.8716006,2.1931732,3.2371342,3.0031123,2.7674918,172.04518,340.49365,136.39029,60.13148,766.8295,0.16067433,0.32365972,4.8611536,55.39457,0.655939,7.650031
74,0.955196,0.036119733,399.59058,2.6005769,0.26937082,90.02755,101.92679,-17.16767,76.21796,2.623406,1.8806388,2.5920913,2.168076,1.8951126,116.14429,560.7738,56.46308,44.98097,590.80743,0.104696,1.1106622,6.9538016,56.326923,-0.27919668,9.466661
75,1.1143036,0.039783094,400.11496,2.4806573,0.23550327,178.78535,93.609474,-24.286716,9.859878,2.736682,2.0259776,2.6886888,2.0796745,1.7477585,105.85211,451.77432,45.23512,178.18787,602.641,0.18220599,1.9417347,8.473339,65.0895,0.7951805,7.99971
76,1.159124,0.04702611,400.2022,2.4750414,0.27885023,117.3148,95.2753,-27.000927,-10.453653,2.6219666,1.8715492,2.5029805,2.092818,1.8385525,112.57353,501.6123,36.35836,109.91555,961.4494,0.17811391,0.35797623,5.6958494,73.58802,0.24520525,8.704715
77,1.0437913,0.036888313,399.86426,2.4540224,0.30328712,84.80464,96.57076,-27.448874,-36.539894,2.3489377,1.8652782,2.890802,2.7616634,2.5604653,159.80656,598.2008,330.5839,86.82709,712.2279,0.11149826,0.5811083,6.730294,66.33409,0.3145232,11.180239
78,1.0942457,0.04880109,400.89536,2.4796185,0.13127807,120.75316,35.690655,-23.263819,31.544617,2.6576138,1.9649912,2.7700853,2.501452,2.2828135,141.24484,553.275,187.47714,526.7972,698.1556,0.25155917,1.3070114,10.059319,85.79124,-0.21345432,9.469968
79,1.0520589,0.04269577,400.03534,2.4775333,0.098646544,29.965473,64.008484,-31.931225,-42.95211,2.1733675,1.7049053,2.6089315,2.5368485,2.4037616,150.26416,562.646,156.74861,745.11633,3612.912,0.05658982,0.24788192,2.667522,26.715252,-0.38012555,9.29507
80,0.9397343,0.032966383,399.6749,2.5374997,0.134823,129.82498,6.7161207,-10.662481,30.118649,1.778146,1.3981438,2.1166623,2.0176606,1.887381,117.80703,436.51236,123.09569,29.121912,612.20764,0.19136742,0.21595645,4.1623507,71.69838,-0.2440679,7.902298
81,1.136965,0.03292697,399.88043,2.4676013,0.29598767,45.47991,94.65614,-26.369228,30.667917,2.9071178,2.1541893,2.965018,2.419004,2.0827813,127.265785,458.4859,62.724243,46.930275,584.8939,0.15729207,0.21478395,3.3654587,43.012016,0.38559312,8.252095
82,1.054601,0.02789154,400.1667,2.5432115,0.061965715,82.94003,135.14128,-19.550415,-51.483025,2.3271868,1.7634919,2.5026236,2.1617668,1.9183623,118.23405,429.43442,92.09536,1321.5803,956.2462,0.12057078,1.1089451,8.958732,78.73228,-0.17072208,9.675785
83,1.2103983,0.059949182,400.30502,2.4673462,0.2639657,110.2145,48.524246,-27.257671,-57.089516,2.8317502,2.0717356,2.8510728,2.4802978,2.2228227,136.67049,452.60767,219.61282,623.13354,629.11584,0.21927047,1.0641623,9.603067,87.87705,0.24381332,8.932893
84,1.1062015,0.039972663,399.84512,2.331131,0.1334959,105.15489,18.857685,-29.608362,-20.838764,2.1313632,1.740546,2.7964394,3.0184937,3.0784142,194.59479,618.80334,100.72413,715.0707,875.04376,0.24151914,0.40722275,7.2517557,102.19481,0.80326843,8.667317
85,1.048595,0.043063555,399.77087,2.4886625,0.26604623,152.67589,101.40636,-18.849773,-32.072613,1.9537681,1.5366145,2.2466757,1.930393,1.6813366,103.6204,489.10162,38.408306,139.00772,123.05685,0.1394629,1.0028648,8.874798,78.64873,0.14872977,8.278311
86,1.1479211,0.015049234,399.86475,2.5051813,0.37517226,87.57115,94.555916,-19.228336,-16.45116,2.6809304,1.9523726,2.7647674,2.4705997,2.2292461,137.76881,623.19653,139.91963,327.3141,761.57404,0.20825009,2.771632,12.172665,93.75376,0.5713173,9.701952
87,1.1305526,0.039243568,399.9444,2.466224,0.32134828,99.93842,95.59415,-24.746262,-6.477832,1.6485955,1.4357675,2.3583636,2.3922715,2.2719798,142.85538,427.35782,50.592598,316.50684,457.71222,0.07337195,0.17606106,2.575323,32.615353,0.0057541607,7.732109
88,1.0308162,0.041226827,399.8834,2.5225759,0.20866993,105.084816,70.06776,-15.476766,-46.83822,2.4452243,1.9160357,2.8468416,2.5832136,2.3366523,144.98105,524.4704,123.69348,272.8399,427.18784,0.12394522,0.5854632,5.8827457,54.13972,-0.42032844,8.230184
89,1.1972802,0.048299715,399.95197,2.3273456,0.14577329,108.39388,116.987,-37.366707,-11.702248,2.1017015,1.6158657,2.3886254,2.1929836,2.00635,124.59155,550.71814,292.83148,100.108696,590.32294,0.111820556,0.43111777,5.6155405,57.515938,0.5712748,9.744719
90,1.0011199,0.051800538,399.25162,2.5278296,0.161527,96.0092,3.7517505,-19.054775,8.524017,1.9921402,1.6248894,2.6360126,2.7644253,2.7250896,171.67532,553.8329,93.74762,526.9306,613.85626,0.14633715,1.4037495,7.994878,63.84485,0.8578781,8.230206
91,1.0987334,0.058374494,399.82745,2.4591603,0.2048475,96.23921,90.97335,-31.046474,-30.154089,1.7427475,1.4192591,2.192418,2.025795,1.8172662,112.99382,564.19037,38.30283,156.721,583.68567,0.27732474,1.5570861,13.014682,115.755165,0.9409114,9.825352
92,1.0430744,0.050658304,400.1211,3.039517,0.18278797,38.37862,72.03319,-19.892843,10.867618,2.1887226,1.6393158,2.3517027,1.9739933,1.7065369,104.70852,496.77505,170.52045,110.8063,939.8236,0.11607875,0.3248904,4.6650047,49.49291,0.7357367,9.005185
93,1.1645555,0.0413315,400.1932,2.3513043,0.16261685,87.03237,88.26121,-28.77592,24.167149,2.5078437,1.8388561,2.4128258,1.7233944,1.3712149,81.905136,496.29092,95.49761,326.72543,621.78076,0.100970544,0.50080574,5.429679,51.80419,0.21895432,8.620509
94,1.1372573,0.041851595,399.09863,2.5810413,0.2629551,177.0844,65.09898,-17.00715,41.048965,2.1644967,1.6383581,2.4008782,2.1588817,1.951458,120.89403,475.41046,211.07219,388.55176,447.59293,0.23646188,0.41644412,5.845811,66.14551,0.84993553,7.4817543
95,1.1161053,0.043200325,399.54858,2.2036226,0.47722712,171.89597,59.374763,-28.340633,38.899307,2.1005101,1.6567745,2.46729,2.1895173,1.94218,120.19307,534.3592,79.30971,45.674458,369.89545,0.123691715,0.90431803,6.7499914,57.271576,0.14172995,6.730052
96,1.0559574,0.040146146,399.83502,2.5192208,0.328296,84.56697,64.73388,-17.691265,-16.486538,2.6544948,1.9970801,2.8931193,2.67306,2.464677,153.0606,494.4183,62.064404,15.445566,73.29514,0.09403704,0.57662547,4.983699,43.80305,0.21218593,8.539259
97,1.0380452,0.03926038,399.9638,2.4563756,0.20303392,43.582146,71.86788,-22.386078,26.44263,2.2474122,1.7821314,2.767762,2.7270894,2.5970762,162.62573,483.21655,218.02876,672.2623,715.0526,0.13785419,1.2278535,7.1755247,57.351295,-0.01827762,8.953618
