config,T,d_T,CO2,d_CO2,Td,Hgla,Hgis,Hais_smb,Hais,Co_1,Co_2,Co_3,Co_4,Co_5,Cd,Cv,Cs1,Cs2,Cs3,a,Cth_1,Cth_2,Cth_3,ERFx,Eco2
33,1.1084281,0.04429015,399.93607,2.4714274,0.1743632,59.208282,110.59303,-10.283281,-0.32420567,2.4798567,1.8280246,2.5862815,2.278168,2.05074,126.551926,509.91006,40.17277,282.90802,798.7288,0.14584687,0.8320591,5.894492,49.881935,0.13312149,9.275353
34,1.0792564,0.0373218,399.90488,2.4899857,0.23938806,60.6573,47.431164,-15.344934,29.77066,2.5484986,1.8881947,2.620063,2.1584287,1.8651224,114.18331,632.76447,160.23633,294.2484,1315.5066,0.2102311,0.4180171,7.146909,90.683304,0.43917942,10.005244
35,1.043705,0.03934159,399.73325,2.4921856,0.1223228,62.755726,115.15511,-10.552725,8.985609,2.2557507,1.7723519,2.6966636,2.63325,2.4882646,155.60959,551.1837,71.07658,1020.88116,568.7814,0.24359024,1.1353714,11.613565,108.14152,0.3007899,10.541913
36,0.98371094,0.034526777,399.9485,2.471702,0.15042186,94.221985,62.81605,-10.031633,32.01074,2.3862073,1.7615128,2.4644716,2.1000602,1.8535464,113.94314,497.3163,69.93648,620.1699,427.1469,0.14841065,2.8000133,9.393217,69.29137,0.8604078,8.045362
37,1.1582226,0.046734568,399.8818,2.4346213,0.277872,47.082504,109.966736,-21.54552,21.670794,2.1939058,1.8035837,2.9613986,3.12283,3.098433,195.5488,574.805,414.7215,396.65973,204.33092,0.06696454,0.3177565,3.4897103,33.92537,0.07130349,10.525371
38,1.0815028,0.043806333,399.79938,2.4846787,0.09424341,55.341827,107.22157,-10.562969,15.368355,2.5750113,1.9978364,3.0168202,2.906635,2.7395973,171.10136,571.0762,55.427593,578.81934,567.4458,0.041351933,0.12065997,1.5550339,15.940455,0.024589658,10.235231
39,1.0406475,0.039702304,399.95435,2.4840937,0.4123431,71.46357,42.029305,-14.330478,25.208466,2.3203692,1.7099736,2.345384,1.8773079,1.5952519,97.238,571.80817,30.349834,374.14984,556.09375,0.213142,0.56482995,8.066788,90.5951,1.0247333,9.980374
40,1.0010802,0.035951298,399.83014,2.4766364,0.11821034,40.54977,112.3635,-9.518209,30.614487,2.7902684,2.1064568,2.99501,2.5472054,2.2331886,137.27914,472.32364,153.37653,293.49698,651.0382,0.058204163,0.068882644,1.3087975,20.450863,0.8334028,8.956446
41,1.1891488,0.048165146,399.93005,2.5013871,0.38499016,86.73591,87.69696,-20.38543,23.706007,1.9051327,1.6067604,2.7611663,2.9746451,2.9171252,184.40005,529.7162,41.940025,609.7467,529.5049,0.19958071,1.8987144,10.628122,84.77931,0.652775,12.447342
42,1.0686456,0.08151506,400.03714,2.463887,0.18517502,56.30364,118.383446,-8.516698,1.2508636,2.6482139,2.0335832,2.9655852,2.6278677,2.358012,145.76561,438.29517,115.96138,420.22534,487.00357,0.10709683,0.6629975,5.4919252,48.3132,1.1238447,10.116348
